custURI,scoped_eps
4540_CitiusTech,50000
4580_AmericanaRestaurants,7000
4630_DSPMutualFund,38000
4530_AlMullaGroup,34000
3010_ICICIPru,30000
1600_SBILife,35500
3453_ICICI,42000
7890_HDFC,38000
1122_TCS,40000
9087_Wipro,39000
7766_Infosys,35500
6677_Accenture,41000
2220_MOC,36000
9011_Cognizant,40000
9012_Capgemini,40000
9013_TechMahindra,40000
9014_HCL,40000
9015_Oracle,40000
9016_Deloitte,40000
9017_InfosysBPM,40000
9018_Airtel,40000
9019_VodafoneIdea,40000
9020_Reliance,40000
9021_Amazon,40000
9022_Flipkart,40000
9023_Paytm,40000
9024_Byjus,40000
9025_Zomato,40000
9026_Swiggy,40000
9027_Myntra,40000
9028_Adobe,40000
9029_SAP,40000
9030_Honeywell,40000
9031_Siemens,40000
9032_Bosch,40000
9033_TataSteel,40000
9034_AsianPaints,40000
9035_LTIMindtree,40000
9036_Persistent,40000
9037_Mphasis,40000
9038_Hexaware,40000
9039_Coforge,40000
9040_IBMIndia,40000
9041_DXC,40000
9042_NTTData,40000
9044_WellsFargo,40000
9045_CitiBank,40000
9046_AxisBank,40000
9047_Kotak,40000
9048_Adani,40000
9049_TataPower,40000
9050_Mahindra,40000
9051_Maruti,40000
9052_Hyundai,40000
9053_Apollo,40000
9054_DrReddys,40000
9055_Cipla,40000
9056_SunPharma,40000
9057_Lupin,40000
9058_Indigo,40000
9059_AirIndia,40000
9060_Oyo,40000
9061_InfosysConsulting,40000
9062_Dell,40000
9063_Lenovo,40000
9064_HP,40000
9065_Jio,40000
9066_Nokia,40000
9067_Ericsson,40000
9068_Motorola,40000
9069_Sony,40000
9070_Samsung,40000
9071_LG,40000
9072_Pepsi,40000
9073_CocaCola,40000
9074_Nestle,40000
9075_Dominos,40000
9076_PizzaHut,40000
9077_BurgerKing,40000
9078_KFC,40000
9079_Dabur,40000
9080_Bajaj,40000
9081_AIG,40000
9082_Godrej,40000
9083_Philips,40000
9084_Barclays,40000
9085_Genpact,40000
9086_3M,40000
9088_PayPal,40000
9089_Mastercard,40000
9090_Visa,40000
9091_GSK,40000
9092_OracleCloud,40000
9093_Zebra,40000
9094_Teradata,40000
9095_MongoDB,40000
9096_Salesforce,40000
9097_Snowflake,40000
9098_Workday,40000
3011_GIGI,40000
9099_ServiceNow,40000
